iter	Passed	Remaining
859	951	154
860	952	153
861	953	152
862	955	151
863	956	150
864	957	149
865	958	148
866	959	147
867	960	146
868	962	145
869	963	143
870	964	142
871	965	141
872	966	140
873	967	139
874	968	138
875	970	137
876	971	136
877	972	135
878	973	134
879	974	132
880	975	131
881	976	130
882	977	129
883	978	128
884	979	127
885	981	126
886	982	125
887	983	124
888	984	122
889	985	121
890	986	120
891	987	119
892	989	118
893	990	117
894	991	116
895	993	115
896	994	114
897	995	113
898	996	111
899	997	110
900	998	109
901	1001	108
902	1003	107
903	1004	106
904	1005	105
905	1006	104
906	1007	103
907	1009	102
908	1010	101
909	1011	100
910	1012	98
911	1013	97
912	1015	96
913	1016	95
914	1017	94
915	1018	93
916	1019	92
917	1020	91
918	1022	90
919	1023	88
920	1024	87
921	1025	86
922	1026	85
923	1027	84
924	1028	83
925	1029	82
926	1031	81
927	1032	80
928	1034	79
929	1035	77
930	1036	76
931	1038	75
932	1039	74
933	1040	73
934	1041	72
935	1042	71
936	1043	70
937	1045	69
938	1046	67
939	1047	66
940	1048	65
941	1049	64
942	1050	63
943	1052	62
944	1053	61
945	1054	60
946	1055	59
947	1056	57
948	1057	56
949	1058	55
950	1060	54
951	1061	53
952	1062	52
953	1063	51
954	1064	50
955	1065	49
956	1066	47
957	1067	46
958	1068	45
959	1069	44
960	1070	43
961	1071	42
962	1073	41
963	1074	40
964	1075	38
965	1076	37
966	1077	36
967	1078	35
968	1079	34
969	1080	33
970	1081	32
971	1082	31
972	1083	30
973	1085	28
974	1086	27
975	1087	26
976	1089	25
977	1090	24
978	1091	23
979	1092	22
980	1093	21
981	1095	20
982	1096	18
983	1098	17
984	1100	16
985	1100	15
986	1101	14
987	1102	13
988	1103	12
989	1104	11
990	1105	10
991	1106	8
992	1107	7
993	1108	6
994	1110	5
995	1111	4
996	1112	3
997	1113	2
998	1114	1
999	1115	0
